Id,File No.,Permit Code,Ranking No,New Permit No,APPLICANT NAME,POSTAL ADDRESS,Email,Tell 1,Tell 2,Region,DISTRICT,WARD,STREET/VILLAGE,Source,Source Name,Purpose Description (Water Use),Water Use Category,Approved (l/s),Requested Amount (l/s),Source Capacity (l/s),Amount  returned (l/s),Latitude (Decimal degree),Longitude (Decimal degree),Intake GPS Location Name,Application Date,Permit History,Permit Type,Permit Activity,Issue Date,Permit Duration (Days),Expire Date,Permit Validity Period,Permit Status,Review No,Permit Review 1 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Permit Review 3 Issue Date,Permit Duration,Expire Date,Permit Validity Period,Permit Status,Pangani Mainstem,WUA,
224,140745,1110,745,11100745,PASUA MOSQUE,S.L.P 7881 MOSHI,,,,Kilimanjaro,Moshi,,Pasua,Borehole,B/H 453/2006,Domestic,Institution,0.05,0.05,0.05,,,,Pasua,28-Aug-06,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Rau,
132,140210,1110,210,11100210,ABB TANELEC LTD,Box 7156 Arusha,,2.55688E+11,,Arusha,ARUSHA,Njiro,Njiro,Borehole,B/H AR 113/56,Institution,Community Water Supply ,0.19,0.19,0.19,,96233,2451,Njiro,10-Apr-97,Water Right,Water Use Permit,Active,11-Jun-20,1826.25,11-Jun-25,116.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
138,140218,1110,218,11100218,ARUSHA AGRO FLORA LTD,Box 6131 Arusha,,,,Arusha,ARUMERU,Kikwe,Valeska,Borehole,B/H AR/13/96,"Domestic, Irrigation",Irrigation,0.06,0.06,0.06,,96130,2644,Valeska,7-Apr-97,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
540,140301,1110,301,11100301,ST. JOSEPH'S CLINC UCHIRA,Box 1497 Moshi,,,,Kilimanjaro,Moshi,Uchira,Uchira,Borehole,B/H KIL64/93,Domestic,Institution,1.6,1.6,1.6,,96248,3298,Uchira,5-Mar-99,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,Miwaleni,
684,140459,1110,459,11100459,MR MC CALLUM AND MR. G AMBROSE,Box 13226 Arusha,,,,Arusha,Arumeru,,Seliani,Borehole,B/H NO 186/2/2,Domestic,Individual,0.98,0.98,0.98,,96318,2335,Seliani,12-Jul-02,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
115,140162,1110,162,11100162,GODFREY URASA,"Po box 64, Moshi",gsurasa@gmail.com,2.55682E+11,,Kilimanjaro,HAI,,Shirinjoro,Borehole,B/H No 20/93,Individual,Domestic,0.28,0.28,0.28,,96333,3069,Shirinjoro,15-May-97,Water Right,Water Use Permit,Active,17-Dec-19,1826.25,16-Dec-24,-60.75,Expired,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Weruweru,
120,140192,1110,192,11100192,HOTEL A.M  1988 LTD,Box 10045 Arusha,,,,Arusha,ARUSHA,Kaloleni,TEMBA,Borehole,B/H No. AR/53/96,Domestic,Individual,20.83,20.83,20.83,,96271,2418,TEMBA,20-Jun-96,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
450,11100878,1110,878,11100878,SERENGETI BREWERIES LTD,PO BOX 1915 MOSHI,info@serengetibrew.com,222860347,,Kilimanjaro,Moshi,PASUA,Bomambuzi-Sukari Rd.,Borehole,B/H No.2,Large Scale Industry,Industry and Business,8.3,8.3,8.3,,,,Bomambuzi-Sukari Rd.,17-Jun-08,Water Right,Water Use Permit,Active,1-May-13,1826.25,1-May-18,-2481.75,Expired,11100878,5-Dec-12,1826.25,5-Dec-17,-2628.75,Expired,19-Jun-19,1826.25,18-Jun-24,-241.75,Expired,Ruvu,rau,
31,140030,1110,30,11100030,CHRISTINA W MALISA,Box 634 Arusha,,,,Arusha,ARUSHA,Moivo,Moivo,Borehole,B/H.4/87,Large Scale Industry,Industry and Business,0.18,0.18,0.18,,96288,2454,Moivo,3-Jan-94,Water Right,Water Right,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Themi,
124,140196,1110,196,11100196,ZAHRA OKASH NILSSON,Box 7060 Arusha,,,,Arusha,ARUMERU,Kiranyi,Kiranyi,Borehole,B/H.AR 38/96,Domestic,Individual,0.1,0.1,0.1,,96291,2406,Kiranyi,8-May-96,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,Nduruma,
556,140317,1110,317,11100317,WENGERT WINDROSE SAFARI,Box 2097 Arusha,,,,Arusha,Arumeru,Kiranyi,Kiranyi,Borehole,B/H/NO 604,Domestic,Company,0.52,0.52,0.52,,96291,2393,Kiranyi,20-May-98,Water Right,Water Right,Inactive,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikuletwa juu,
3130,11102802,1110,2802,11102802,PYUS MARIDAI OLOMI ,,,679679330,,KILIMANJARO,HAI,,CHEKIMAJI,Borehole,Barehole,Small Scale Irrigation,Irrigation,1.5,1.5,1.5,,,,CHEKIMAJI,12-Jul-22,,Water Use Permit,Active,26-Jan-23,1826.25,26-Jan-28,1075.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
3131,11102803,1110,2803,11102803,SWEETHING LEMA ,P.O.BOX  78 HAI,,027-2752780,,KILIMANJARO,HAI,Masama Rundugai,CHEKIMAJI,Borehole,Barehole,Small Scale Irrigation,Irrigation,1.4,1.4,1.4,,,,CHEKIMAJI,22-Jun-22,New,Water Use Permit,Active,26-Jan-23,1826.25,26-Jan-28,1075.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Kikuletwa,kikafu,
3132,11102804,1110,2804,11102804,BALTHAZARI  A. KAVISHE,P.O.BOX 628 MOSHI,,754370770,,KILIMANJARO,MOSHI,,Lumbeta,Borehole,Barehole,Individual,Domestic,0.3,0.3,0.3,,96291211,321547,Lumbeta,15-Jul-22,New,Water Use Permit,Active,26-Jul-22,1826.25,26-Jul-27,891.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Ruvu,rau,
3133,11102805,1110,2805,11102805,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3134,11102806,1110,2806,11102806,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3136,11102808,1110,2808,11102808,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3137,11102809,1110,2809,11102809,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3138,11102810,1110,2810,11102810,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3139,11102811,1110,2811,11102811,KOROGWE URBAN WATER WATER SUPPLY AUTHORITH,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
3140,11102812,1110,2812,11102812,MOMBO URBAN WATER SUPPLY AUTHORITY,,,,,Tanga,Korogwe,,,Borehole,Barehole,Urban Water Utilities Class B,Community Water Supply ,,0,0,,,,0,15-Jul-22,,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,,
3148,11102818,1110,2818,11102818,PETEL ABEL  MTANGO,P.O.BOX 286 SAME,peter.a.mtango@gmail.com,715442544,717206206,Kilimanjaro,Same,,MAHUU,Borehole,Barehole,Livestock,Irrigation,0.3,0.3,0.3,,-4.053358,37.722622,MAHUU,12-Jul-22,New,Water Use Permit,Active,26-Oct-22,1826.25,26-Oct-27,983.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
3149,11102819,1110,2819,11102819,METEL- HASSAN SISAL ESTATE,P.O.BOX 153 MWANGA,hussein-estate@melt,656412020,,KILIMANJARO,SAME,,KISANGARA,Borehole,Barehole,Small Scale Industry,Industry and Business,1.1,1.1,1.1,,,,KISANGARA,26-May-22,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
3150,11102820,1110,2820,11102820,MELT-HUSSEIN SISAL ESTATE,P.O.BOX 153  MWANGA,hussein-estate@melt.net,656412020,,KILIMANJARO,MWANGA,,KISANGARA,Borehole,Barehole,Small Scale Industry,Industry and Business,1.1,1.1,1.1,,,,KISANGARA,26-May-22,New,Application,Active,,1826.25,30-Dec-04,-43876.75,No WUP,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,pangani juu,
3154,11102824,1110,2824,11102824,ICSI  GROUP LTD,P.O.BOX 1780 MOROGORO,icsitanzania@gmail.com,679237978,,TANGA,Korogwe,,Kwamdolwa,Borehole,Barehole,Small Scale Irrigation,Irrigation,4.3,4.3,4.3,,,,Kwamdolwa,28-Aug-22,,Water Use Permit,Active,26-Oct-22,1826.25,26-Oct-27,983.25,Valid,,,1826.25,30-Dec-04,-43876.75,Not Reviewed,,1826.25,30-Dec-04,-43876.75,Not Reviewed,Pangani Mainstem,Pangani kati,
