id,region,district,source_type,source_name,water_use,water_use_category,water_use_fee,amount_abstracted,amount_requested,water_source_capacity,permit_history,permit_type,activity_status,permit_status,catchment
2605,Kilimanjaro,Same,Spring,MSOGWENI SPRING,CBWSO,Community Water Supply ,100000,0.3,0.3,18.7,New,Water Use Permit,Active,Valid,Pangani Mainstream
2072,Kilimanjaro,Moshi,Spring,KOPANZIA ,CBWSO,Community Water Supply ,100000,0.3,0.3,8,New,Water Use Permit,Active,Valid,Ruvu
479,Tanga,Lushoto,Stream,Mlesa,CBWSO,Community Water Supply ,100000,0.3,0.3,,Water Right,Water Use Permit,Active,Invalid,Umba
968,Kilimanjaro,Same,Spring,Kidingidingi,CBWSO,Community Water Supply ,100000,0.37,0.37,89,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
235,Arusha,Arumeru,Spring,KYARETO NKUAMESA,CBWSO,Community Water Supply ,100000,0.4,0.4,,Water Right,Water Right,Active,Invalid,Kikuletwa
2730,Kilimanjaro,Same,Spring,Mwamkova & Mshukuruni,CBWSO,Community Water Supply ,100000,0.4,0.4,,New,Water Use Permit,Active,Valid,Mkomazi
1371,Kilimanjaro,Rombo,Spring,TETEI SPRING,CBWSO,Community Water Supply ,100000,0.4,0.4,,New,Application,Active,Invalid,Ruvu
125,Arusha,Arumeru,Spring,Nangeri,CBWSO,Community Water Supply ,100000,0.5,0.5,222,Water Right,Water Use Permit,Inactive,Valid,Kikuletwa
1025,Kilimanjaro,Same,Spring,Boma ya hemikuyu,CBWSO,Community Water Supply ,100000,0.5,0.5,56,New,Application,Active,Invalid,Mkomazi
2933,Kilimanjaro,Same,Spring,Makuu,CBWSO,Community Water Supply ,100000,0.5,0.5,,New,Water Use Permit,Active,Valid,Mkomazi
768,Kilimanjaro,Mwanga,Spring,Kwatugha,CBWSO,Community Water Supply ,100000,0.5,0.5,65,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
3167,Kilimanjaro,Same,Spring,Kibomezi,CBWSO,Community Water Supply ,100000,0.5,0.5,43.1,New,Water Use Permit,Active,Valid,Pangani Mainstream
2859,Kilimanjaro,Same,River,Yongoma,CBWSO,Community Water Supply ,100000,0.5,0.5,789,New,Water Use Permit,Active,Valid,Pangani Mainstream
1606,Kilimanjaro,Moshi,Spring,MBAMBI,CBWSO,Community Water Supply ,100000,0.5,0.5,,New,Application,Active,Invalid,Ruvu
1331,Kilimanjaro,Moshi,Spring,MAIYA ,CBWSO,Community Water Supply ,100000,0.5,0.5,,New,Water Use Permit,Active,Invalid,Ruvu
1236,Kilimanjaro,Moshi,Spring,kichao ,CBWSO,Community Water Supply ,100000,0.5,0.5,3.2,New,Water Use Permit,Active,Valid,Ruvu
967,Kilimanjaro,Same,Stream,Heikuyu,CBWSO,Community Water Supply ,100000,0.56,0.56,54,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
2165,Kilimanjaro,Moshi,Borehole,Borehole,CBWSO,Community Water Supply ,100000,0.57,0.57,0.57,New,Water Use Permit,Active,Valid,Ruvu
752,Tanga,Lushoto,Spring,Kiuzai,CBWSO,Community Water Supply ,100000,0.61,0.61,,Water Right,Water Use Permit,Active,Valid,Mkomazi
43,Arusha,Arumeru,Spring,Monguyo/Naic,CBWSO,Community Water Supply ,100000,0.7,0.7,398,Water Right,Water Use Permit,Active,Invalid,Kikuletwa
311,Kilimanjaro,Same,Spring,Same,CBWSO,Community Water Supply ,100000,0.7,0.7,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
966,Kilimanjaro,Same,Spring,Sunga,CBWSO,Community Water Supply ,100000,0.84,0.84,65,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
1578,Arusha,Arumeru,Spring,MAKURUMITO ,CBWSO,Community Water Supply ,100000,1,1,78,New,Application,Active,Invalid,Kikuletwa
1500,Arusha,Arumeru,Spring,Ndumanga ,CBWSO,Community Water Supply ,100000,1,1,17,New,Application,Active,Invalid,Kikuletwa
1136,Arusha,Arumeru,Spring,KIGERI,CBWSO,Community Water Supply ,100000,1,1,55,New,Water Use Permit,Active,Invalid,Kikuletwa
1855,Arusha,Arumeru,Spring,NDAMWALE ,CBWSO,Community Water Supply ,100000,1,1,33,New,Water Use Permit,Active,Invalid,Kikuletwa
2923,Arusha,Arumeru,Borehole,Borehole,CBWSO,Community Water Supply ,100000,1,1,1,New,Water Use Permit,Active,Valid,Kikuletwa
1577,Arusha,Arumeru,Spring,LAMEI ,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Kikuletwa
2688,Arusha,Arumeru,Spring,Maksoro,CBWSO,Community Water Supply ,100000,1,1,22,New,Water Use Permit,Active,Valid,Kikuletwa
1579,Arusha,Arumeru,Spring,MAKURUMITO ,CBWSO,Community Water Supply ,100000,1,1,78,New,Water Use Permit,Active,Valid,Kikuletwa
2919,Arusha,Arumeru,Spring,Nduruma,CBWSO,Community Water Supply ,100000,1,1,17,New,Water Use Permit,Active,Valid,Kikuletwa
2691,Arusha,Arumeru,Spring,Ngwemari ,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Kikuletwa
904,Tanga,Lushoto,Spring,NDELEMAI,CBWSO,Community Water Supply ,100000,1,1,103,Water Right,Water Use Permit,Active,Invalid,Mkomazi
838,Kilimanjaro,Mwanga,River,MALA,CBWSO,Community Water Supply ,100000,1,1,90,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
2595,Kilimanjaro,Same,Spring,GUNDU NZIA YA KITALA STREAM,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
1286,Kilimanjaro,Same,Spring,HENVERA ,CBWSO,Community Water Supply ,100000,1,1,7,New,Water Use Permit,Active,Valid,Pangani Mainstream
2583,Kilimanjaro,Same,Spring,MAGOGO SPRING,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2592,Kilimanjaro,Same,River,MAKASA  (LUANDA),CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2604,Kilimanjaro,Same,Spring,Mbogweni,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2657,Kilimanjaro,Same,Spring,Mchamwene,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2602,Kilimanjaro,Same,Spring,MSOGWENI SPRING,CBWSO,Community Water Supply ,100000,1,1,18.7,New,Water Use Permit,Active,Valid,Pangani Mainstream
2510,Kilimanjaro,Same,Spring,Namdingiri,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
1588,Kilimanjaro,Same,Spring,NDIAKAFWA ,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Pangani Mainstream
445,Kilimanjaro,Moshi,Spring,Mitiali,CBWSO,Community Water Supply ,100000,1,1,,Water Right,Application,Active,Invalid,Ruvu
428,Kilimanjaro,Hai,Spring,Nkwamembi,CBWSO,Community Water Supply ,100000,1,1,,Water Right,Application,Active,Invalid,Ruvu
2150,Kilimanjaro,Moshi,Spring,KWA RICHARD NJAU ,CBWSO,Community Water Supply ,100000,1,1,,New,Water Use Permit,Active,Valid,Ruvu
769,Kilimanjaro,Moshi,Spring,Kiwewere,CBWSO,Community Water Supply ,100000,1,1,15,Water Right,Water Use Permit,Active,Valid,Ruvu
876,Manyara,Simanjiro,Borehole,Borehole,CBWSO,Community Water Supply ,100000,1.27,1.27,1.27,Water Right,Water Right,Active,Invalid,Kikuletwa
880,Kilimanjaro,Mwanga,Spring,Kwanakimbughu,CBWSO,Community Water Supply ,100000,1.27,1.27,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
965,Kilimanjaro,Same,Stream,Hemvera,CBWSO,Community Water Supply ,100000,1.3,1.3,57,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
1212,Arusha,Arusha,Borehole,Borehole,CBWSO,Community Water Supply ,100000,1.39,1.39,1.39,New,Application,Active,Invalid,Kikuletwa
851,Arusha,Arumeru,Spring,ISIDORI,CBWSO,Community Water Supply ,100000,1.42,1.42,,Water Right,Water Right,Active,Invalid,Kikuletwa
2243,Arusha,Arumeru,River,Makumira ,CBWSO,Community Water Supply ,100000,1.5,1.5,78,New,Application,Active,Invalid,Kikuletwa
753,Kilimanjaro,Moshi,Spring,kimbori,CBWSO,Community Water Supply ,100000,1.5,1.5,,Water Right,Water Right,Active,Invalid,Kikuletwa
1323,Kilimanjaro,Same,Spring,KIINDI CHA NGANO ,CBWSO,Community Water Supply ,100000,1.5,1.5,21,New,Application,Active,Invalid,Mkomazi
1715,Kilimanjaro,Moshi,Spring,Manyele,CBWSO,Community Water Supply ,100000,1.5,1.5,6.3,New,Water Use Permit,Active,Valid,Ruvu
1653,Kilimanjaro,Rombo,Spring,Shedefa,CBWSO,Community Water Supply ,100000,1.5,1.5,,New,Water Use Permit,Active,Valid,Ruvu
864,Tanga,Lushoto,Spring,Shashu,CBWSO,Community Water Supply ,100000,1.6,1.6,,Water Right,Water Right,Active,Invalid,Mkomazi
1629,Tanga,Lushoto,Spring,KIVUMBI ,CBWSO,Community Water Supply ,100000,1.7,1.7,32,New,Application,Active,Invalid,Mkomazi
975,Tanga,Pangani,Stream,Mliwaza,CBWSO,Community Water Supply ,100000,1.7,1.7,,Water Right,Water Right,Active,Invalid,Pangani Mainstream
200,Kilimanjaro,Hai,Spring,TIMA,CBWSO,Community Water Supply ,100000,1.72,1.72,,Water Right,Application,Active,Invalid,Kikuletwa
2403,Arusha,Arumeru,Borehole,Borehole,CBWSO,Community Water Supply ,100000,1.8,1.8,1.8,New,Water Use Permit,Active,Valid,Kikuletwa
2095,Arusha,Arumeru,Spring,magdarisho ,CBWSO,Community Water Supply ,100000,1.87,1.87,76,New,Application,Active,Invalid,Kikuletwa
1327,Arusha,Arusha,Spring,BARAA ,CBWSO,Community Water Supply ,100000,2,2,66,New,Application,Active,Invalid,Kikuletwa
949,Arusha,Arumeru,Spring,NTURU,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Application,Active,Invalid,Kikuletwa
1408,Arusha,Arumeru,Spring,NKOSANARA,CBWSO,Community Water Supply ,100000,2,2,17,New,Water Use Permit,Active,Invalid,Kikuletwa
1733,Arusha,Arumeru,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Water Use Permit,Active,Valid,Kikuletwa
1738,Arusha,Arumeru,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Water Use Permit,Active,Valid,Kikuletwa
1739,Arusha,Arumeru,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Water Use Permit,Active,Valid,Kikuletwa
1569,Arusha,Arumeru,Spring,KWASHERI ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Kikuletwa
1482,Arusha,Arumeru,Spring,MAANGA ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Kikuletwa
2665,Kilimanjaro,Moshi,Spring,Mnangwe,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Kikuletwa
2636,Arusha,Arumeru,Spring,Ngwemari ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Kikuletwa
1194,Kilimanjaro,Same,Spring,LUSHINO ,CBWSO,Community Water Supply ,100000,2,2,88,New,Application,Active,Invalid,Pangani Mainstream
317,Kilimanjaro,Mwanga,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,Water Right,Water Right,Active,Invalid,Pangani Mainstream
2041,Kilimanjaro,Same,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Water Use Permit,Active,Valid,Pangani Mainstream
1382,Kilimanjaro,Mwanga,River,MARENGE ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2692,Kilimanjaro,Same,River,Nakombo,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2601,Kilimanjaro,Same,Spring,Ngujini,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2437,Manyara,Simanjiro,Spring,Olchoro Olekoyo,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Pangani Mainstream
994,Kilimanjaro,Moshi,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Application,Active,Invalid,Ruvu
1481,Kilimanjaro,Rombo,Spring,KATAUTI ,CBWSO,Community Water Supply ,100000,2,2,,New,Application,Active,Invalid,Ruvu
743,Kilimanjaro,Moshi,Spring,Huyamkombo,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Application,Active,Invalid,Ruvu
634,Kilimanjaro,Moshi,River,Machami,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Application,Active,Invalid,Ruvu
920,Kilimanjaro,Moshi,Spring,Okaoni,CBWSO,Community Water Supply ,100000,2,2,18.2,Water Right,Application,Active,Invalid,Ruvu
928,Kilimanjaro,Moshi,Spring,NANGA-MAPORORI 1,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Water Right,Active,Invalid,Ruvu
1242,Kilimanjaro,Moshi,Spring,kwasongoro ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Invalid,Ruvu
1962,Kilimanjaro,Moshi,Spring,mkombozi ,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Invalid,Ruvu
933,Kilimanjaro,Moshi,Spring,KOMBISHI,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Water Use Permit,Active,Invalid,Ruvu
455,Kilimanjaro,Moshi,Spring,Mangi(Sabasaba),CBWSO,Community Water Supply ,100000,2,2,,Water Right,Water Use Permit,Active,Invalid,Ruvu
2998,Kilimanjaro,Moshi,Spring,Juma,CBWSO,Community Water Supply ,100000,2,2,11,New,Water Use Permit,Active,Valid,Ruvu
3184,Kilimanjaro,Moshi,Spring,Kimanga,CBWSO,Community Water Supply ,100000,2,2,4,New,Water Use Permit,Active,Valid,Ruvu
1051,Kilimanjaro,Moshi,Spring,MORANGA ,CBWSO,Community Water Supply ,100000,2,2,2.5,New,Water Use Permit,Active,Valid,Ruvu
1444,Kilimanjaro,Rombo,Spring,Ongwasi,CBWSO,Community Water Supply ,100000,2,2,,New,Water Use Permit,Active,Valid,Ruvu
417,Kilimanjaro,Moshi,Spring,Maasi,CBWSO,Community Water Supply ,100000,2,2,8.1,Water Right,Water Use Permit,Active,Valid,Ruvu
482,Tanga,Lushoto,Spring,Vugili,CBWSO,Community Water Supply ,100000,2,2,,Water Right,Water Right,Active,Invalid,Umba
1548,Tanga,Lushoto,Stream,BAGA  II FOREST ,CBWSO,Community Water Supply ,100000,2,2,76.1,New,Water Use Permit,Active,Valid,Umba
2284,Tanga,Muheza,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,New,Application,Active,Invalid,Zigi
491,Tanga,Tanga,Borehole,Borehole,CBWSO,Community Water Supply ,100000,2,2,2,Water Right,Water Use Permit,Active,Invalid,Zigi
356,Kilimanjaro,Same,Spring,Kwasarunge,CBWSO,Community Water Supply ,100000,2.21,2.21,,Water Right,Water Right,Active,Invalid,Ruvu
2613,Arusha,Arumeru,Spring,Usa River Spring,CBWSO,Community Water Supply ,100000,2.3,2.3,322,New,Application,Active,Invalid,Kikuletwa
1720,Arusha,Arusha,Spring,ENJORO ESUPUKIA,CBWSO,Community Water Supply ,100000,2.3,2.3,,New,Water Use Permit,Active,Valid,Kikuletwa
738,Kilimanjaro,Rombo,River,Njoro Two,CBWSO,Community Water Supply ,100000,2.4,2.4,,Water Right,Water Use Permit,Active,Valid,Ruvu
1493,Tanga,Lushoto,Spring,Lolera,CBWSO,Community Water Supply ,100000,2.4,2.4,,New,Water Use Permit,Active,Invalid,Umba
1179,Kilimanjaro,Moshi,Spring,KIWERE ,CBWSO,Community Water Supply ,100000,2.5,2.5,15,New,Application,Active,Invalid,Ruvu
369,Kilimanjaro,Moshi,Spring,Mawela,CBWSO,Community Water Supply ,100000,2.5,2.5,,Water Right,Water Use Permit,Active,Valid,Ruvu
7,Arusha,Arumeru,Spring,Burka,CBWSO,Community Water Supply ,100000,2.8,2.8,345,Water Right,Water Use Permit,Active,Valid,Kikuletwa
1770,Arusha,Arusha,Spring,Emaoi,CBWSO,Community Water Supply ,100000,3,3,11,New,Water Use Permit,Active,Invalid,Kikuletwa
3002,Kilimanjaro,Moshi,Spring,Kiumbura,CBWSO,Community Water Supply ,100000,3,3,33,New,Water Use Permit,Active,Valid,Kikuletwa
1700,Arusha,Arumeru,Spring,TANGISI ,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Kikuletwa
2694,Kilimanjaro,Same,River,Saseni,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Mkomazi
1325,Kilimanjaro,Same,Spring,MOSE ,CBWSO,Community Water Supply ,100000,3,3,76,New,Water Use Permit,Active,Invalid,Pangani Mainstream
969,Kilimanjaro,Same,Stream,Kwakibulu,CBWSO,Community Water Supply ,100000,3,3,21,Water Right,Water Use Permit,Active,Invalid,Pangani Mainstream
2645,Kilimanjaro,Same,River,Mgambo,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Pangani Mainstream
2508,Kilimanjaro,Same,River,Yongoma,CBWSO,Community Water Supply ,100000,3,3,789,New,Water Use Permit,Active,Valid,Pangani Mainstream
1064,Kilimanjaro,Rombo,River,Kikuletwa,CBWSO,Community Water Supply ,100000,3,140500,140500,New,Application,Active,Invalid,Ruvu
596,Kilimanjaro,Moshi,Spring,Wasambo,CBWSO,Community Water Supply ,100000,3,3,,Water Right,Application,Active,Invalid,Ruvu
413,Kilimanjaro,Moshi,Spring,Lyasongoro,CBWSO,Community Water Supply ,100000,3,3,,Water Right,Water Right,Active,Invalid,Ruvu
1784,Kilimanjaro,Moshi,Spring,MOFINI,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Invalid,Ruvu
930,Kilimanjaro,Moshi,Spring,KISANJA,CBWSO,Community Water Supply ,100000,3,3,54,Water Right,Water Use Permit,Active,Invalid,Ruvu
747,Kilimanjaro,Moshi,Spring,SOKENI,CBWSO,Community Water Supply ,100000,3,3,,Water Right,Water Use Permit,Active,Invalid,Ruvu
2792,Kilimanjaro,Moshi,Borehole,Borehole,CBWSO,Community Water Supply ,100000,3,3,3,New,Water Use Permit,Active,Valid,Ruvu
2887,Kilimanjaro,Moshi,River,Mbahe,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Ruvu
2924,Kilimanjaro,Moshi,Spring,MJERUMANI,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Ruvu
2625,Kilimanjaro,Moshi,Spring,Upung'a,CBWSO,Community Water Supply ,100000,3,3,,New,Water Use Permit,Active,Valid,Ruvu
404,Kilimanjaro,Moshi,Spring,Kinyasha,CBWSO,Community Water Supply ,100000,3,3,37,Water Right,Water Use Permit,Active,Valid,Ruvu
1571,Manyara,Simanjiro,Borehole,Borehole,CBWSO,Community Water Supply ,100000,3.3,3.3,3.3,New,Application,Active,Invalid,Pangani Mainstream
932,Kilimanjaro,Moshi,Spring,KIWEWERE,CBWSO,Community Water Supply ,100000,3.3,3.3,,Water Right,Water Use Permit,Active,Invalid,Ruvu
986,Arusha,Arumeru,Spring,Ngoimari,CBWSO,Community Water Supply ,100000,3.5,3.5,,Water Right,Water Right,Active,Invalid,Kikuletwa
573,Arusha,Arumeru,Spring,Saiturele,CBWSO,Community Water Supply ,100000,3.5,3.5,,Water Right,Water Use Permit,Active,Invalid,Kikuletwa
3080,Kilimanjaro,Moshi,Spring,Spring ,CBWSO,Community Water Supply ,100000,3.5,3.5,,New,Application,Active,Invalid,Ruvu
929,Kilimanjaro,Moshi,Spring,MAPORORI 2,CBWSO,Community Water Supply ,100000,3.5,3.5,,Water Right,Water Use Permit,Active,Invalid,Ruvu
1135,Kilimanjaro,Moshi,Spring,SELIO - ASENGA,CBWSO,Community Water Supply ,100000,3.5,3.5,22.1,New,Water Use Permit,Active,Valid,Ruvu
237,Arusha,Arumeru,Spring,Mbulukuku-Isileny,CBWSO,Community Water Supply ,100000,4,4,,Water Right,Water Right,Active,Invalid,Kikuletwa
511,Kilimanjaro,Hai,Spring,Kishoro,CBWSO,Community Water Supply ,100000,4,4,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
1334,Arusha,Arumeru,Spring,Engikareti,CBWSO,Community Water Supply ,100000,4,4,18,New,Water Use Permit,Active,Valid,Kikuletwa
1283,Arusha,Arumeru,Spring,SHASHONI ,CBWSO,Community Water Supply ,100000,4,4,,New,Water Use Permit,Active,Valid,Kikuletwa
3553,Arusha,Arumeru,Spring,Tuivala,CBWSO,Community Water Supply ,100000,4,4,23,Water Right,Water Use Permit,Active,Valid,Kikuletwa
1903,Kilimanjaro,Same,Spring,KILIMENI IGOMA ,CBWSO,Community Water Supply ,100000,4,4,54,New,Application,Active,Invalid,Pangani Mainstream
3106,Kilimanjaro,Same,Spring,Spring ,CBWSO,Community Water Supply ,100000,4,4,67,New,Application,Active,Invalid,Pangani Mainstream
1631,Kilimanjaro,Mwanga,Borehole,Borehole,CBWSO,Community Water Supply ,100000,4,4,4,New,Water Use Permit,Active,Valid,Pangani Mainstream
1502,Kilimanjaro,Same,Spring,Kizungu,CBWSO,Community Water Supply ,100000,4,4,,New,Water Use Permit,Active,Valid,Pangani Mainstream
749,Kilimanjaro,Rombo,River,KIMENGELIA,CBWSO,Community Water Supply ,100000,4,4,,Water Right,Application,Active,Invalid,Ruvu
410,Kilimanjaro,Moshi,Spring,Kodemo,CBWSO,Community Water Supply ,100000,4,4,,Water Right,Water Right,Active,Invalid,Ruvu
1240,Kilimanjaro,Moshi,Stream,MARWA B ,CBWSO,Community Water Supply ,100000,4,4,,New,Water Use Permit,Active,Invalid,Ruvu
442,Kilimanjaro,Moshi,River,Nsoo,CBWSO,Community Water Supply ,100000,4,4,76,Water Right,Water Use Permit,Active,Invalid,Ruvu
692,Kilimanjaro,Moshi,Spring,Shokony,CBWSO,Community Water Supply ,100000,4,4,,Water Right,Water Right,Inactive,Invalid,Ruvu
1780,Kilimanjaro,Moshi,Spring,FRANCIS ,CBWSO,Community Water Supply ,100000,4,4,13,New,Water Use Permit,Active,Valid,Ruvu
1783,Kilimanjaro,Moshi,Spring,KIMANGARA ,CBWSO,Community Water Supply ,100000,4,4,,New,Water Use Permit,Active,Valid,Ruvu
1338,Kilimanjaro,Rombo,Spring,TETEI ,CBWSO,Community Water Supply ,100000,4,4,,New,Water Use Permit,Active,Valid,Ruvu
338,Kilimanjaro,Moshi,Spring,Liambala,CBWSO,Community Water Supply ,100000,4,4,18,Water Right,Water Use Permit,Active,Valid,Ruvu
698,Manyara,Simanjiro,Spring,Lendanai,CBWSO,Community Water Supply ,100000,4.02,4.02,,Water Right,Water Right,Active,Invalid,Kikuletwa
572,Arusha,Arumeru,Spring,Nabaye,CBWSO,Community Water Supply ,100000,4.1,4.1,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
2427,Kilimanjaro,Moshi,Spring,ULANGA ,CBWSO,Community Water Supply ,100000,4.17,4.17,,Water Right,Water Right,Inactive,Invalid,Kikuletwa
982,Manyara,Simanjiro,Borehole,Borehole,CBWSO,Community Water Supply ,100000,4.4,4.4,4.4,Water Right,Water Right,Active,Invalid,Kikuletwa
950,Arusha,Arumeru,Spring,Sailoja,CBWSO,Community Water Supply ,100000,5,5,,Water Right,Water Right,Active,Invalid,Kikuletwa
666,Arusha,Arumeru,Spring,SAMBASHA,CBWSO,Community Water Supply ,100000,5,5,,Water Right,Water Right,Active,Invalid,Kikuletwa
888,Kilimanjaro,Hai,Spring,Shiri,CBWSO,Community Water Supply ,100000,5,5,,Water Right,Water Right,Active,Invalid,Kikuletwa
256,Arusha,Arumeru,River,Songota,CBWSO,Community Water Supply ,100000,5,5,,Water Right,Water Right,Active,Invalid,Kikuletwa
1970,Arusha,Arusha,Spring,MAKSORU ,CBWSO,Community Water Supply ,100000,5,5,22,New,Water Use Permit,Active,Valid,Kikuletwa
1580,Arusha,Arumeru,Spring,sokoyani ,CBWSO,Community Water Supply ,100000,5,5,,New,Water Use Permit,Active,Valid,Kikuletwa
206,Kilimanjaro,Hai,River,Simba,CBWSO,Community Water Supply ,100000,5,5,63,Water Right,Water Use Permit,Active,Valid,Kikuletwa
207,Kilimanjaro,Hai,River,Simba,CBWSO,Community Water Supply ,100000,5,5,103,Water Right,Water Use Permit,Active,Valid,Kikuletwa
231,Arusha,Arumeru,Spring,Songololo,CBWSO,Community Water Supply ,100000,5,5,87.5,Water Right,Water Use Permit,Active,Valid,Kikuletwa
250,Arusha,Arumeru,River,Usa,CBWSO,Community Water Supply ,100000,5,5,450,Water Right,Water Use Permit,Active,Valid,Kikuletwa
2843,Kilimanjaro,Same,Spring,KIHEMBERE,CBWSO,Community Water Supply ,100000,5,5,44,New,Application,Active,Invalid,Pangani Mainstream
